14:19:53.220 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:19:53.229 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 9 ms. Found 1 JPA repository interfaces.
14:19:53.308 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:19:53.330 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 312 ms
14:19:53.350 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:~/people-management'
14:19:53.420 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:19:53.551 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:19:54.090 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:19:54.104 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:19:54.110 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Started PeoplemanagementApplication in 1.123 seconds (process running for 427.361)
14:19:54.112 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
14:20:45.098 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:20:45.100 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
14:20:45.118 [http-nio-8080-exec-2] INFO  c.d.p.i.logger.LoggerAdapter - Adicionado endereço Endereco [id=null, logradouro=Rua sem número, cep=18125-444, numero=325, cidade=Campinas, principal=true] à pessoa de nome Marta Marciel e id 70
14:21:19.115 [http-nio-8080-exec-4] INFO  c.d.p.i.logger.LoggerAdapter - Removido endereço Endereco [id=34, logradouro=Rua sem número, cep=18125-444, numero=325, cidade=Campinas, principal=false] da pessoa de nome Marta Marciel e id 70
14:21:51.182 [http-nio-8080-exec-5] INFO  c.d.p.i.logger.LoggerAdapter - Editado endereço de id 35 da pessoa de nome Marta Marciel e id 70 para Endereco [id=35, logradouro=Rua Jucelino Ferreira, cep=18125-333, numero=302, cidade=Porto Feliz, principal=true]
14:22:32.805 [File Watcher] INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
14:22:32.823 [Thread-24] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
14:22:32.933 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Starting PeoplemanagementApplication using Java 17.0.1 with PID 69480 (C:\Users\dougl\Documents\codes\peoplemanagement\target\classes started by dougl in C:\Users\dougl\Documents\codes\peoplemanagement)
14:22:32.933 [restartedMain] DEBUG c.d.p.PeoplemanagementApplication - Running with Spring Boot v3.0.1, Spring v6.0.3
14:22:32.933 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - No active profile set, falling back to 1 default profile: "default"
14:22:33.138 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
14:22:33.148 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 1 JPA repository interfaces.
14:22:33.229 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
14:22:33.262 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 327 ms
14:22:33.288 [restartedMain] INFO  o.s.b.a.h.H2ConsoleAutoConfiguration - H2 console available at '/h2-console'. Database available at 'jdbc:h2:file:~/people-management'
14:22:33.360 [restartedMain] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
14:22:33.494 [restartedMain] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
14:22:34.115 [restartedMain] INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
14:22:34.127 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
14:22:34.133 [restartedMain] INFO  c.d.p.PeoplemanagementApplication - Started PeoplemanagementApplication in 1.23 seconds (process running for 587.383)
14:22:34.135 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
14:22:34.677 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
14:22:34.678 [http-nio-8080-exec-2] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
14:22:34.698 [http-nio-8080-exec-2] INFO  c.d.p.i.logger.LoggerAdapter - Editado endereço da pessoa de nome Marta Marciel e id 70 para Endereco [id=35, logradouro=Rua Jucelino Ferreira, cep=18125-333, numero=302, cidade=Porto Feliz, principal=true]
14:24:31.256 [RMI TCP Connection(33)-127.0.0.1] INFO  o.s.b.a.SpringApplicationAdminMXBeanRegistrar$SpringApplicationAdmin - Application shutdown requested.
14:24:31.275 [RMI TCP Connection(33)-127.0.0.1] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
